model_company,model_family,canonical_models,price_rows,providers,token_types,official_pricing_url,example_models,median_price_usd_per_1m,cache_read,cache_write,cache_write_1h,input,output,reasoning
Amazon,Nova,24,70,4,"cache_read,cache_write,cache_write_1h,input,output",https://aws.amazon.com/bedrock/pricing/,"amazon-nova-lite, amazon-nova-micro, amazon-nova-premier, amazon-nova-pro, amazon/nova-2-lite-v1, amazon/nova-lite, amazon/nova-lite-v1, amazon/nova-micro",0.5859375,0.24125000000000002,0.12000000000000001,0.12000000000000001,0.7999999999999999,3.1999999999999997,
Amazon,Titan,9,18,1,"input,output",https://aws.amazon.com/bedrock/pricing/,"titan-text-express-v1, titan-text-lite-v1, titan-text-premier-v1-0, us-gov-east-1/amazon.titan-text-express-v1, us-gov-east-1/amazon.titan-text-lite-v1, us-gov-east-1/amazon.titan-text-premier-v1-0, us-gov-west-1/amazon.titan-text-express-v1, us-gov-west-1/amazon.titan-text-lite-v1",0.625,,,,0.5,1.5,
Amazon,MiniMax,1,2,1,"input,output",https://aws.amazon.com/bedrock/pricing/,minimax-m2.7,0.75,,,,0.3,1.2,
Anthropic,Claude 4,81,729,15,"cache_read,cache_write,cache_write_1h,input,output",https://docs.anthropic.com/en/docs/about-claude/pricing,"anthropic/claude-opus-4, anthropic/claude-opus-4.5, anthropic/claude-sonnet-4, anthropic/claude-sonnet-4.5, au.anthropic.claude-haiku-4-5-20251001-v1-0, au.anthropic.claude-opus-4-6-v1, au.anthropic.claude-opus-4-7, au.anthropic.claude-opus-4-8",5.0,0.5,6.25,10.0,5.0,25.0,
Anthropic,Other / Unknown,22,56,3,"cache_read,cache_write,input,output",https://docs.anthropic.com/en/docs/about-claude/pricing,"ap-northeast-1/anthropic.claude-instant-v1, ap-northeast-1/anthropic.claude-v1, ap-northeast-1/anthropic.claude-v2-1, claude, claude-2.1, claude-instant, claude-instant-v1, claude-v1",8.0,0.3,3.75,,8.0,23.999999999999996,
Anthropic,Claude 3.5,20,132,10,"cache_read,cache_write,cache_write_1h,input,output",https://docs.anthropic.com/en/docs/about-claude/pricing,"anthropic-claude-3.5-haiku, anthropic-claude-3.5-sonnet, claude-3-5-haiku, claude-3-5-haiku-20241022, claude-3-5-haiku-20241022-v1-0, claude-3-5-haiku-latest, claude-3-5-sonnet, claude-3-5-sonnet-20240620",3.0,0.3,3.75,5.999999999999999,2.9999999999999996,15.0,
Anthropic,Claude 3,13,89,8,"cache_read,cache_write,cache_write_1h,input,output",https://docs.anthropic.com/en/docs/about-claude/pricing,"anthropic-claude-3-opus, claude-3-haiku, claude-3-haiku-20240307, claude-3-haiku-20240307-v1-0, claude-3-opus, claude-3-opus-20240229, claude-3-opus-20240229-v1-0, claude-3-opus-latest",1.5,0.030000000000000002,0.375,5.999999999999999,2.9999999999999996,15.0,
Anthropic,Claude 3.7,11,61,11,"cache_read,cache_write,cache_write_1h,input,output",https://docs.anthropic.com/en/docs/about-claude/pricing,"anthropic-claude-3.7-sonnet, claude-3-7-sonnet, claude-3-7-sonnet-20240620-v1-0, claude-3-7-sonnet-20250219, claude-3-7-sonnet-20250219-v1-0, claude-3-7-sonnet-latest, claude-3-7-sonnet-v2-20250219, claude-3.7-sonnet",3.75,0.3,3.75,5.999999999999999,3.0,15.0,
Arcee AI,Arcee,13,33,3,"cache_read,input,output",https://www.arcee.ai/,"arcee-ai/coder-large, arcee-ai/maestro-reasoning, arcee-ai/spotlight, arcee-ai/trinity-large-preview, arcee-ai/trinity-large-thinking, arcee-ai/trinity-mini, arcee-ai/virtuoso-large, coder-large",0.7499999999999999,0.06,,,0.5,0.825,
Baidu,ERNIE,15,36,5,"input,output",https://cloud.baidu.com/doc/WENXINWORKSHOP/s/Blfmc9dlf,"baidu/ernie-4.5-21b-a3b, baidu/ernie-4.5-21b-a3b-thinking, baidu/ernie-4.5-300b-a47b-paddle, baidu/ernie-4.5-vl-28b-a3b, baidu/ernie-4.5-vl-28b-a3b-thinking, baidu/ernie-4.5-vl-424b-a47b, ernie-4.5-21b-a3b, ernie-4.5-21b-a3b-thinking",0.28,,,,0.14,0.475,
ByteDance,ByteDance Seed,50,188,3,"cache_read,cache_write,input,output",https://www.volcengine.com/product/ark,"bytedance-seed/seed-1.6, bytedance-seed/seed-1.6-flash, bytedance-seed/seed-2.0-lite, bytedance-seed/seed-2.0-mini, bytedance/seed-1.8, bytedance/seed-2.0-code, bytedance/seed-2.0-mini, bytedance/seed-2.0-pro",0.1,0.05,0.0083,,0.25,2.0,
ByteDance,UI-TARS,2,5,2,"cache_read,input,output",https://www.volcengine.com/product/ark,"bytedance/ui-tars-1.5-7b, ui-tars-1.5-7b",0.1,0.09999999999999999,,,0.1,0.2,
Cohere,Command,28,84,8,"input,output",https://cohere.com/pricing,"cohere-command-r-08-2024, cohere-command-r-plus-08-2024, cohere.command-a-03-2025, cohere.command-a-reasoning, cohere.command-a-reasoning-08-2025, cohere.command-a-translate-08-2025, cohere.command-a-vision, cohere.command-a-vision-07-2025",1.56,,,,1.53,1.56,
Core42,JAIS,2,4,2,"input,output",https://www.core42.ai/,"core42/jais-13b-chat, jais-30b-chat",2600.0,,,,1850.0,5855.0,
Databricks,DBRX,2,4,2,"input,output",https://www.databricks.com/product/machine-learning/model-serving,"databricks/dbrx-instruct, dbrx-instruct",1.2,,,,1.2,1.2,
Databricks,MPT,2,3,1,"input,output",https://www.databricks.com/product/machine-learning/model-serving,"databricks-mpt-30b-instruct, databricks-mpt-7b-instruct",1.0000200000000001,,,,0.7500150000000001,1.0000200000000001,
DeepSeek,DeepSeek V3,35,179,24,"cache_read,cache_write,input,output",https://api-docs.deepseek.com/quick_start/pricing,"deepseek-ai/deepseek-v3, deepseek-ai/deepseek-v3-0324, deepseek-ai/deepseek-v3.1, deepseek-ai/deepseek-v3.2, deepseek-v3, deepseek-v3-0324, deepseek-v3-0324-fast, deepseek-v3-0324-turbo",0.42,0.106,0.0083,,0.38,1.0,
DeepSeek,DeepSeek R1,28,117,21,"cache_read,input,output,reasoning",https://api-docs.deepseek.com/quick_start/pricing,"deepseek-ai/deepseek-r1, deepseek-ai/deepseek-r1-0528, deepseek-ai/deepseek-r1-distill-qwen-1.5b, deepseek-ai/deepseek-r1-distill-qwen-14b, deepseek-ai/deepseek-r1-distill-qwen-32b, deepseek-ai/deepseek-r1-distill-qwen-7b, deepseek-r1, deepseek-r1-0528",0.625,0.35,,,0.55,2.1700000000000004,10.0
DeepSeek,Other / Unknown,20,69,9,"cache_read,input,output",https://api-docs.deepseek.com/quick_start/pricing,"ap-northeast-1/deepseek.v3.2, ap-south-1/deepseek.v3.2, ap-southeast-3/deepseek.v3.2, deepcogito/cogito-v2-preview-deepseek-671b, deepseek-llm-67b-chat, deepseek-prover-v2, deepseek-reasoner, deepseek-v2-lite-chat",0.74,0.028,,,0.72,1.85,
DeepSeek,DeepSeek Coder,9,19,2,"cache_read,input,output",https://api-docs.deepseek.com/quick_start/pricing,"deepseek-coder, deepseek-coder-1b-base, deepseek-coder-33b-instruct, deepseek-coder-7b-base, deepseek-coder-7b-base-v1p5, deepseek-coder-7b-instruct-v1p5, deepseek-coder-v2-instruct, deepseek-coder-v2-lite-base",0.19999999999999998,0.014,,,0.19999999999999998,0.28,
DeepSeek,DeepSeek Chat,6,16,2,"cache_read,input,output",https://api-docs.deepseek.com/quick_start/pricing,"deepseek-chat, deepseek-chat-v3-0324, deepseek-chat-v3.1, deepseek/deepseek-chat, deepseek/deepseek-chat-v3-0324, deepseek/deepseek-chat-v3.1",0.22,0.079,,,0.205,0.6775,
Google,Gemini 2.5,44,216,13,"cache_read,cache_write,input,output,reasoning",https://ai.google.dev/gemini-api/docs/pricing,"databricks-gemini-2-5-flash, databricks-gemini-2-5-pro, gemini-2.5-flash, gemini-2.5-flash-gt-128k, gemini-2.5-flash-image, gemini-2.5-flash-image-gt-128k, gemini-2.5-flash-image-lte-128k, gemini-2.5-flash-image-preview",0.39999999999999997,0.030000000000000002,0.1,,0.3,2.5,0.39999999999999997
Google,Gemini 1,42,88,3,"input,output",https://ai.google.dev/gemini-api/docs/pricing,"gemini-1.0-pro, gemini-1.0-pro-001, gemini-1.0-pro-002, gemini-1.0-pro-vision, gemini-1.0-pro-vision-001, gemini-1.5-flash, gemini-1.5-flash-001, gemini-1.5-flash-001-gt-128k",0.5,,,,0.15,0.6,
Google,Gemini 3,42,220,8,"cache_read,cache_write,input,output,reasoning",https://ai.google.dev/gemini-api/docs/pricing,"gemini-3-1-pro-preview, gemini-3-1-pro-preview-200k, gemini-3-flash-preview, gemini-3-flash-preview-gt-128k, gemini-3-flash-preview-lte-128k, gemini-3-pro, gemini-3-pro-image-preview, gemini-3-pro-image-preview-gt-128k",1.5,0.175,0.25,,2.0,11.999999999999998,2.25
Google,Other / Unknown,30,81,6,"cache_read,cache_write,input,output,reasoning",https://ai.google.dev/gemini-api/docs/pricing,"chat-bison, chat-bison-001, deep-research-pro-preview-12-2025-gt-128k, deep-research-pro-preview-12-2025-lte-128k, gemini-exp-1206, gemini-flash-1.5, gemini-flash-1.5-8b, gemini-flash-latest",0.39999999999999997,0.051250000000000004,0.1,,0.3,2.5,2.5
Google,Gemma,29,102,17,"input,output",https://ai.google.dev/gemini-api/docs/pricing,"codegemma-2b, codegemma-7b, databricks-gemma-3-12b, gemini-gemma-2-27b-it, gemini-gemma-2-9b-it, gemma-2-27b-it, gemma-2-2b-it, gemma-2-9b",0.13,,,,0.09999999999999999,0.19999999999999998,
Google,Gemini 2,17,82,8,"cache_read,input,output",https://ai.google.dev/gemini-api/docs/pricing,"gemini-2.0-flash, gemini-2.0-flash-001, gemini-2.0-flash-001-gt-128k, gemini-2.0-flash-001-lte-128k, gemini-2.0-flash-exp, gemini-2.0-flash-exp-001, gemini-2.0-flash-exp-001-gt-128k, gemini-2.0-flash-exp-001-lte-128k",0.15,0.024999999999999998,,,0.09999999999999999,0.39999999999999997,
Google,Palmyra,5,10,4,"input,output",https://ai.google.dev/gemini-api/docs/pricing,"palmyra-x5, writer.palmyra-vision-7b, writer.palmyra-x4-v1-0, writer.palmyra-x5-v1-0, writer/palmyra-x5",1.55,,,,0.6,6.0,
Hugging Face,Zephyr,2,6,3,"input,output",https://huggingface.co/,"huggingfaceh4/zephyr-7b-beta, zephyr-7b-beta",0.175,,,,0.15,0.19999999999999998,
Inflection,Inflection,4,8,2,"input,output",https://inflection.ai/,"inflection-3-pi, inflection-3-productivity, inflection/inflection-3-pi, inflection/inflection-3-productivity",6.25,,,,2.5,10.0,
Liquid AI,LFM,6,12,3,"input,output",https://www.liquid.ai/,"lfm-2-24b-a2b, lfm-40b, lfm-7b, liquid/lfm-2-24b-a2b, liquid/lfm-2.2-6b, liquid/lfm2-8b-a1b",0.03,,,,0.027499999999999997,0.08,
Meta,Other / Unknown,64,154,16,"input,output",https://llama.meta.com/,"-hf/thebloke/codellama-7b-instruct-awq, alfredpros/codellama-7b-instruct-solidity, code-llama-13b, code-llama-13b-instruct, code-llama-13b-python, code-llama-70b, code-llama-70b-instruct, code-llama-70b-python",0.2,,,,0.19999999999999998,0.2,
Meta,Llama 3,62,158,20,"input,output",https://llama.meta.com/,"ap-south-1/meta.llama3-70b-instruct-v1-0, ap-south-1/meta.llama3-8b-instruct-v1-0, ca-central-1/meta.llama3-70b-instruct-v1-0, ca-central-1/meta.llama3-8b-instruct-v1-0, code-llama-34b, code-llama-34b-instruct, code-llama-34b-python, codellama-34b-instruct",0.6699999999999999,,,,0.51,0.7899999999999999,
Meta,Llama 3.1,58,178,30,"input,output",https://llama.meta.com/,"aion-labs/aion-rp-llama-3.1-8b, aion-rp-llama-3.1-8b, databricks-meta-llama-3-1-405b-instruct, databricks-meta-llama-3-1-8b-instruct, dobby-mini-unhinged-plus-llama-3-1-8b, hermes-3-llama-3.1-405b, hermes-3-llama-3.1-70b, llama-3.1-405b",0.4,,,,0.4,0.6,
Meta,Llama 2,33,78,13,"input,output",https://llama.meta.com/,"-cf/meta/llama-2-7b-chat-fp16, -cf/meta/llama-2-7b-chat-int8, databricks-llama-2-70b-chat, llama-2-13b-chat-hf, llama-2-70b-chat, llama-2-70b-chat-hf, llama-2-7b-chat, llama-2-7b-chat-hf",0.3,,,,0.26,0.4,
Meta,Llama 3.2,27,78,15,"input,output",https://llama.meta.com/,"llama-3.2-11b-vision-instruct, llama-3.2-11b-vision-instruct-turbo, llama-3.2-1b-instruct, llama-3.2-3b, llama-3.2-3b-instruct, llama-3.2-3b-instruct-turbo, llama-3.2-90b-vision-instruct, llama-3.2-90b-vision-instruct-turbo",0.16,,,,0.15,0.201,
Meta,Llama 4,24,88,22,"input,output",https://llama.meta.com/,"databricks-llama-4-maverick, deepcogito/cogito-v2-preview-llama-405b, llama-4-maverick, llama-4-maverick-17b-128e-instruct, llama-4-maverick-17b-128e-instruct-fp8, llama-4-maverick-17b-128e-instruct-maas, llama-4-maverick-17b-128e-instruct-turbo, llama-4-scout",0.450005,,,,0.2,0.6799999999999999,
Meta,Llama 3.3,23,72,26,"input,output",https://llama.meta.com/,"databricks-meta-llama-3-3-70b-instruct, deepseek-llama3.3-70b, dobby-unhinged-llama-3-3-70b-new, llama-3.3-70b, llama-3.3-70b-instruct, llama-3.3-70b-instruct-fast, llama-3.3-70b-instruct-maas, llama-3.3-70b-instruct-turbo",0.4,,,,0.215,0.5,
Meta,DeepSeek R1,7,34,14,"input,output",https://llama.meta.com/,"deepseek-ai/deepseek-r1-distill-llama-70b, deepseek-ai/deepseek-r1-distill-llama-8b, deepseek-r1-7b-qwen, deepseek-r1-8b, deepseek-r1-distill-llama-70b, deepseek-r1-distill-llama-8b, deepseek/deepseek-r1-distill-llama-70b",0.7,,,,0.7,0.7999999999999999,
Meta,Qwen3,2,4,1,"input,output",https://llama.meta.com/,"qwen3-8b, qwen3-vl-8b",0.14500000000000002,,,,0.095,0.34500000000000003,
Meta,DeepSeek Coder,1,2,1,"input,output",https://llama.meta.com/,deepseek-coder-6.7b,0.09,,,,0.06,0.12,
Meta,Mistral Base/Instruct,1,2,1,"input,output",https://llama.meta.com/,mistral-7b-v0.3,0.125,,,,0.09999999999999999,0.15,
Meta,Nemotron,1,2,1,"input,output",https://llama.meta.com/,llama-v3p1-nemotron-70b-instruct,0.8999999999999999,,,,0.8999999999999999,0.8999999999999999,
Meta,Phi,1,2,1,"input,output",https://llama.meta.com/,dolphin3-8b,0.11499999999999999,,,,0.08,0.15,
Meta,Qwen2.5,1,2,1,"input,output",https://llama.meta.com/,qwen2.5-coder-7b,0.09,,,,0.06,0.12,
Microsoft,Phi,29,77,8,"cache_read,input,output",https://azure.microsoft.com/en-us/pricing/details/cognitive-services/openai-service/,"chatdolphin, dolphin, microsoft/phi-4-mini-instruct, phi-2, phi-2-3b, phi-3-medium-128k-instruct, phi-3-medium-4k-instruct, phi-3-mini-128k-instruct",0.16,0.08,,,0.125,0.5,
MiniMax,MiniMax,55,161,16,"cache_read,cache_write,input,output",https://www.minimaxi.com/en/platform,"ap-northeast-1/minimax.minimax-m2.1, ap-northeast-1/minimax.minimax-m2.5, ap-south-1/minimax.minimax-m2.1, ap-south-1/minimax.minimax-m2.5, ap-southeast-2/minimax.minimax-m2.5, ap-southeast-3/minimax.minimax-m2.1, ap-southeast-3/minimax.minimax-m2.5, eu-central-1/minimax.minimax-m2.1",0.375,0.03,0.375,,0.3,1.2,
Mistral,Mistral Base/Instruct,28,79,16,"input,output",https://mistral.ai/pricing/,"-cf/mistral/mistral-7b-instruct-v0.1, eu-west-3/mistral.mistral-7b-instruct-v0-2, hermes-2-pro-mistral-7b, intfloat/e5-mistral-7b-instruct, llava-v1.6-mistral-7b-hf, mistral-7b, mistral-7b-instruct, mistral-7b-instruct-4k",0.19999999999999998,,,,0.19999999999999998,0.19999999999999998,
Mistral,Mixtral,24,81,19,"cache_read,input,output",https://mistral.ai/pricing/,"cognitivecomputations/dolphin-2.6-mixtral-8x7b, databricks-mixtral-8x7b-instruct, discoresearch/discolm-mixtral-8x7b-v2, dolphin-2p6-mixtral-8x7b, eu-west-3/mistral.mixtral-8x7b-instruct-v0-1, mistralai/mixtral-8x22b-instruct-v0.1, mistralai/mixtral-8x7b-instruct-v0.1, mixtral-8x22b",0.6,0.19999999999999998,,,0.6,0.7,
Mistral,Mistral Small,19,69,14,"cache_read,input,output",https://mistral.ai/pricing/,"labs-mistral-small-creative, mistral-small, mistral-small-2402-v1-0, mistral-small-2409, mistral-small-24b-instruct-2501, mistral-small-2501, mistral-small-2503, mistral-small-2503-001",0.24,0.015,,,0.1,0.3,
Mistral,Ministral,18,69,9,"cache_read,input,output",https://mistral.ai/pricing/,"ministral-14b-2512, ministral-14b-latest, ministral-3-14b-2512, ministral-3-14b-instruct, ministral-3-14b-instruct-2512, ministral-3-3b-2512, ministral-3-3b-instruct, ministral-3-3b-instruct-2512",0.1,0.015,,,0.15,0.15,
Mistral,Mistral Large,17,81,12,"cache_read,input,output",https://mistral.ai/pricing/,"eu-west-3/mistral.mistral-large-2402-v1-0, mistral-large, mistral-large-2402, mistral-large-2402-v1-0, mistral-large-2407, mistral-large-2407-v1-0, mistral-large-2411, mistral-large-2411-001",2.0,0.19999999999999998,,,2.0,6.0,
Mistral,Other / Unknown,17,57,13,"cache_read,input,output",https://mistral.ai/pricing/,"mistral-nemo, mistral-nemo-2407, mistral-nemo-base-2407, mistral-nemo-instruct-2407, mistral-nemo-latest, mistral-saba, mistral-saba-24b, mistral-saba-latest",0.19999999999999998,0.02,,,0.19999999999999998,0.19999999999999998,
Mistral,Devstral,11,51,9,"cache_read,input,output",https://mistral.ai/pricing/,"devstral-2-123b, devstral-2512, devstral-latest, devstral-medium, devstral-medium-2507, devstral-medium-latest, devstral-small, devstral-small-2505",0.39999999999999997,0.04,,,0.39999999999999997,1.3,
Mistral,Magistral,11,32,6,"input,output",https://mistral.ai/pricing/,"magistral-medium, magistral-medium-1-2-2509, magistral-medium-2506, magistral-medium-2506-thinking, magistral-medium-2509, magistral-medium-latest, magistral-small, magistral-small-1-2-2509",1.75,,,,1.25,3.25,
Mistral,Mistral Medium,11,42,8,"cache_read,input,output",https://mistral.ai/pricing/,"mistral-medium, mistral-medium-2312, mistral-medium-2505, mistral-medium-2508, mistral-medium-3, mistral-medium-3-001, mistral-medium-3-1-2508, mistral-medium-3-5",2.0,0.04,,,0.4,2.0,
Mistral,Codestral,10,39,9,"cache_read,input,output",https://mistral.ai/pricing/,"codestral, codestral-2, codestral-2-001, codestral-2405, codestral-2501, codestral-2508, codestral-latest, codestral-mamba-latest",0.3,0.03,,,0.3,0.8999999999999999,
Mistral,Pixtral,7,26,6,"input,output",https://mistral.ai/pricing/,"mistralai/pixtral-12b-2409, pixtral-12b, pixtral-12b-2409, pixtral-large, pixtral-large-2411, pixtral-large-2502-v1-0, pixtral-large-latest",2.0,,,,2.0,5.999999999999999,
Mistral,Hermes,1,2,1,"input,output",https://mistral.ai/pricing/,nousresearch/deephermes-3-mistral-24b-preview,0.060000000000000005,,,,0.02,0.1,
Moonshot AI,Kimi,48,225,23,"cache_read,input,output",https://platform.moonshot.ai/docs/pricing,"ap-northeast-1/moonshotai.kimi-k2-thinking, ap-northeast-1/moonshotai.kimi-k2.5, ap-south-1/moonshotai.kimi-k2-thinking, ap-south-1/moonshotai.kimi-k2.5, ap-southeast-3/moonshotai.kimi-k2.5, eu-north-1/moonshotai.kimi-k2.5, kimi-dev-72b, kimi-k2",1.0,0.15,,,0.6,2.8,
Moonshot AI,Other / Unknown,10,20,1,"input,output",https://platform.moonshot.ai/docs/pricing,"moonshot-v1-128k, moonshot-v1-128k-0430, moonshot-v1-128k-vision-preview, moonshot-v1-32k, moonshot-v1-32k-0430, moonshot-v1-32k-vision-preview, moonshot-v1-8k, moonshot-v1-8k-0430",2.0,,,,1.0,3.0,
NVIDIA,Nemotron,20,52,7,"cache_read,input,output",https://build.nvidia.com/,"nemotron-3-nano-30b-a3b, nemotron-3-super-120b-a12b, nemotron-3-ultra-550b-a55b, nemotron-nano-9b-v2, nemotron-nano-v2-12b-vl, nvidia-nemotron-nano-12b-v2, nvidia-nemotron-nano-9b-v2, nvidia.nemotron-nano-12b-v2",0.19999999999999998,0.095,,,0.09,0.24,
Nous Research,Hermes,10,24,7,"input,output",https://nousresearch.com/,"austism/chronos-hermes-13b, austism/chronos-hermes-13b-v2, chronos-hermes-13b-v2, hermes-4-405b, hermes-4-70b, hermes3-405b, hermes3-70b, hermes3-8b",0.4,,,,0.25,0.4,
Nous Research,Other / Unknown,3,6,2,"input,output",https://nousresearch.com/,"nous-capybara-7b-v1p9, nousresearch/nous-capybara-7b-v1p9, togethercomputer/stripedhyena-nous-7b",0.2,,,,0.2,0.2,
OpenAI,GPT-5,81,494,11,"cache_read,input,output",https://openai.com/api/pricing/,"databricks-gpt-5, databricks-gpt-5-1, databricks-gpt-5-mini, databricks-gpt-5-nano, eu/gpt-5-2025-08-07, eu/gpt-5-mini-2025-08-07, eu/gpt-5-nano-2025-08-07, eu/gpt-5.1",1.3125,0.125,,,1.25,10.0,
OpenAI,Other / Unknown,60,287,9,"cache_read,cache_write,input,output",https://openai.com/api/pricing/,"ada-v2, babbage-002, chat-latest, chatgpt-image-latest, codex-mini, codex-mini-latest, davinci, davinci-002",2.0,1.25,0.5,,2.9999999999999996,4.0,
OpenAI,GPT-4o,47,271,9,"cache_read,cache_write,input,output",https://openai.com/api/pricing/,"chatgpt-4o-latest, eu/gpt-4o-2024-08-06, eu/gpt-4o-2024-11-20, eu/gpt-4o-mini-2024-07-18, eu/gpt-4o-mini-realtime-preview-2024-12-17, eu/gpt-4o-realtime-preview-2024-10-01, eu/gpt-4o-realtime-preview-2024-12-17, ft-gpt-4o",2.5,1.25,1.38,,2.5,10.0,
OpenAI,OpenAI o-series,35,261,8,"cache_read,input,output,reasoning",https://openai.com/api/pricing/,"eu/o1-2024-12-17, eu/o1-mini-2024-09-12, eu/o1-preview-2024-09-12, eu/o3-mini-2025-01-31, ft-o4-mini-2025-04-16, o1, o1-2024-12-17, o1-mini",4.84,1.0387499999999998,,,2.9999999999999996,11.999999999999998,4.4
OpenAI,GPT-4.1,20,142,8,"cache_read,input,output",https://openai.com/api/pricing/,"ft-gpt-4.1, ft-gpt-4.1-2025-04-14, ft-gpt-4.1-mini, ft-gpt-4.1-mini-2025-04-14, ft-gpt-4.1-nano-2025-04-14, gpt-4-1106-preview, gpt-4-1106-vision-preview, gpt-4.1",0.75,0.2,,,0.8,3.2,
OpenAI,GPT OSS,19,106,24,"cache_read,input,output",https://openai.com/api/pricing/,"databricks-gpt-oss-120b, databricks-gpt-oss-20b, gpt-oss-120b, gpt-oss-120b-exacto, gpt-oss-120b-maas, gpt-oss-120b-turbo, gpt-oss-20b, gpt-oss-20b-maas",0.18,0.03725,,,0.09,0.36,
OpenAI,GPT-4,18,99,6,"cache_read,input,output",https://openai.com/api/pricing/,"ft-gpt-4-0613, gpt-4, gpt-4-0125-preview, gpt-4-0314, gpt-4-0613, gpt-4-32k, gpt-4-32k-0314, gpt-4-32k-0613",30.0,37.5,,,30.0,60.0,
OpenChat,OpenChat,3,6,3,"input,output",https://github.com/imoneoi/openchat,"openchat-3p5-0106-7b, openchat/openchat-3.5, openchat/openchat-3.5-1210",0.19999999999999998,,,,0.19999999999999998,0.19999999999999998,
Other / Unknown,Other / Unknown,206,465,39,"cache_read,input,output",,"100b, 16b, 21b, 4b, 70b, 7b, ada, airoboros-70b",0.3,0.020999999999999998,,,0.275,0.62,
Perplexity,Sonar,16,49,4,"input,output,reasoning",https://docs.perplexity.ai/guides/pricing,"perplexity/sonar, perplexity/sonar-deep-research, perplexity/sonar-pro, perplexity/sonar-pro-search, perplexity/sonar-reasoning, perplexity/sonar-reasoning-pro, sonar, sonar-deep-research",2.0,,,,2.0,8.0,3.0
